63;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gramatica;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;19;16;20;17;18;21;22;23;24;25;26;27;29;28;30;31;32;33;34;40;41;35;36;37;38;39;42;43
R_POSSIBLE_FUNC;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;
R_RETORNO_FUNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;
R_CORPO;R_EPSILON;R_EPSILON;R_CORPO;R_EPSILON;R_CORPO;R_EPSILON;R_CORPO;R_EPSILON;R_EPSILON;R_CORPO;R_EPSILON;R_CORPO;R_CORPO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_CORPO;R_EPSILON;R_EPSILON;R_EPSILON;R_CORPO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_COMANDOS;R_EPSILON;R_EPSILON;R_COMANDOS_C6;R_EPSILON;R_COMANDOS_C7;R_EPSILON;R_COMANDOS_C3;R_EPSILON;R_EPSILON;R_COMANDOS_C4;R_EPSILON;R_COMANDOS;R_COMANDOS_C2;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_COMANDOS_C5;R_EPSILON;R_EPSILON;R_EPSILON;R_COMANDOS_C5;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_CHAMA_OU_ATRIBUI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_CHAMA_OU_ATRIBUI_C2;;;;R_CHAMA_OU_ATRIBUI;;;;;;;;;
R_WHOS_NEXT;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_WHOS_NEXT;;;;;;;;;;;;R_WHOS_NEXT_C2;;;
R_NOVO_ESCOPO;;;;;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_ARRAY;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_ARRAY_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_ARRAY_INDEXES;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES;R_ARRAY_INDEXES;R_EPSILON;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES;R_ARRAY_INDEXES;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES;R_EPSILON;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES;R_ARRAY_INDEXES;R_ARRAY_INDEXES;R_ARRAY_INDEXES;R_EPSILON;R_EPSILON;R_ARRAY_INDEXES;R_EPSILON;R_EPSILON;
